Station_ID,Latitude,Longitude,Elevation,State,Station_Name,Flag_Global,Flag,WMO,category
USC00085653,25.7833,-80.1833,3.0,FL,MIAMI BAYFRONT PARK           ,   ,   ,     ,COOP
USC00085660,25.8833,-80.1333,3.0,FL,MIAMI BEACH 2                 ,   ,   ,     ,COOP
USC00085662,29.7167,-82.05,44.2,FL,MELROSE                       ,   ,   ,     ,COOP
USC00085667,25.7553,-80.3836,4.3,FL,MIAMI NWSFO                   ,   ,   ,     ,COOP
USC00085678,25.65,-80.3,3.0,FL,MIAMI 12 SSW                  ,   ,   ,     ,COOP
USC00085690,29.5,-82.2833,-999.9,FL,MICANOPY                      ,   ,   ,     ,COOP
USC00085705,30.0603,-81.8475,25.0,FL,MIDDLEBURG                    ,   ,   ,     ,COOP
USC00085719,26.1833,-81.35,46.0,FL,MILES CITY TWR                ,   ,   ,     ,COOP
USC00085756,30.75,-86.65,30.5,FL,MILLIGAN                      ,   ,   ,     ,COOP
USC00085793,30.7794,-87.1414,66.1,FL,MILTON EXP STN                ,   ,   ,     ,COOP
USC00085850,30.7,-87.3667,14.9,FL,MOLINO                        ,   ,   ,     ,COOP
USC00085866,25.85,-81.1,-999.9,FL,MONROE                        ,   ,   ,     ,COOP
USC00085879,30.4922,-83.7833,29.9,FL,MONTICELLO 5 SE               ,   ,   ,     ,COOP
USC00085880,30.4406,-83.9858,66.8,FL,MONTICELLO 10 SW              ,   ,   ,     ,COOP
USC00085895,26.84,-81.0872,10.7,FL,MOORE HAVEN LOCK 1            ,   ,   ,     ,COOP
USC00085935,29.2833,-82.45,24.4,FL,MORRISTON                     ,   ,   ,     ,COOP
USC00085950,30.3333,-81.6833,3.0,FL,MORTON'S FM DUVAN FM          ,   ,   ,     ,COOP
USC00085973,27.9378,-81.5992,38.1,FL,MTN LAKE                      ,   ,   ,     ,COOP
USC00085990,30.6667,-84.7,92.0,FL,MT PLEASANT 2 W               ,   ,   ,     ,COOP
USC00086040,27.6167,-82.7333,1.5,FL,MULLET KEY                    ,   ,   ,     ,COOP
USC00086048,26.8261,-81.4914,13.1,FL,MUSE                          ,   ,   ,     ,COOP
USC00086065,27.24,-82.3153,5.8,FL,MYAKKA RVR SP                 ,   ,   ,     ,COOP
USC00086078,26.1653,-81.6842,12.2,FL,NAPLES                        ,   ,   ,     ,COOP
USC00086092,27.2878,-80.2214,3.0,FL,NETTLES IS                    ,   ,   ,     ,COOP
USC00086129,30.9539,-85.8831,32.0,FL,NEW HOPE                      ,   ,   ,     ,COOP
USC00086210,29.05,-80.95,3.0,FL,NEW SMYRNA BEACH              ,   ,   ,     ,COOP
USC00086240,30.5317,-86.4928,22.6,FL,NICEVILLE                     ,   ,   ,     ,COOP
USC00086251,27.9333,-81.0,21.0,FL,NITTAW 1 S                    ,   ,   ,     ,COOP
USC00086315,25.95,-80.2158,3.0,FL,N MIAMI BEACH #2              ,   ,   ,     ,COOP
USC00086318,26.5667,-80.75,6.1,FL,NORTH NEW RVR CANAL 1         ,   ,   ,     ,COOP
USC00086319,27.0475,-82.2369,3.7,FL,N PORT                        ,   ,   ,     ,COOP
USC00086323,26.3336,-80.5372,4.9,FL,NORTH NEW RVR CANAL 2         ,   ,   ,     ,COOP
USC00086404,27.8,-81.2,18.3,FL,OASIS FISHING LODGE           ,   ,   ,     ,COOP
USC00086406,25.8603,-81.0331,2.4,FL,OASIS RS                      ,   ,   ,     ,COOP
USC00086414,29.1639,-82.0778,22.9,FL,OCALA                         ,   ,HCN,     ,COOP
USC00086416,29.1667,-81.7667,-999.9,FL,OCALA NF CNTRL TWR            ,   ,   ,     ,COOP
USC00086419,29.2,-82.1,21.0,FL,OCALA 2 NE                    ,   ,   ,     ,COOP
USC00086477,27.2556,-80.8358,7.9,FL,OKEECHOBEE INTOWN             ,   ,   ,     ,COOP
USC00086478,27.25,-80.8667,-999.9,FL,OKEECHOBEE NEAR               ,   ,   ,     ,COOP
USC00086480,27.2333,-80.9667,6.1,FL,OKEECHOBEE 9 W                ,   ,   ,     ,COOP
USC00086485,27.1508,-80.8653,5.5,FL,OKEECHOBEE                    ,   ,   ,     ,COOP
USC00086500,29.6167,-82.9833,-999.9,FL,OLD TOWN                      ,   ,   ,     ,COOP
USC00086515,30.2,-82.45,-999.9,FL,OLUSTEE                       ,   ,   ,     ,COOP
USC00086584,28.9333,-81.3,15.8,FL,ORANGE CITY                   ,   ,   ,     ,COOP
USC00086598,28.8333,-81.9833,22.9,FL,ORANGE HOME                   ,   ,   ,     ,COOP
USC00086612,30.1667,-81.7,7.6,FL,ORANGE PARK                   ,   ,   ,     ,COOP
USC00086618,29.4794,-81.9681,15.2,FL,ORANGE SPRINGS 2SSW           ,   ,   ,     ,COOP
USC00086620,29.5,-81.9167,9.1,FL,ORANGE SPRINGS 1 E            ,   ,   ,     ,COOP
USC00086633,28.55,-81.35,34.1,FL,ORLANDO WTP                   ,   ,   ,     ,COOP
USC00086634,28.5083,-81.5467,45.7,FL,ORLANDO W                     ,   ,   ,     ,COOP
USC00086657,26.7897,-81.3045,6.1,FL,ORTONA LOCK 2                 ,   ,   ,     ,COOP
USC00086700,28.9333,-82.0333,-999.9,FL,OXFORD                        ,   ,   ,     ,COOP
USC00086753,29.6439,-81.6606,21.3,FL,PALATKA                       ,   ,   ,     ,COOP
USC00086761,27.9153,-80.6458,8.2,FL,PALM BAY                      ,   ,   ,     ,COOP
